,Unnamed: 0,titles,authors,year,rating,popularity,url
0,0,厌女:日本的女性嫌恶,(日) 上野千鹤子,2015,9,(23009人评价),https://book.douban.com/subject/25836270/
1,1,从零开始的女性主义,[日] 上野千鹤子、[日] 田房永子,2021,9,(905人评价),https://book.douban.com/subject/35523099/
2,2,父权制与资本主义,[日] 上野千鹤子,2020,9.1,(5788人评价),https://book.douban.com/subject/34896921/
3,3,女性主义有什么用？,[英]塔比·杰克逊·吉、[英]弗雷亚·罗斯,2021,8.3,(660人评价),https://book.douban.com/subject/35518116/
4,4,第二性,[法] 西蒙﹒波伏娃(Simone de Beauvoir),2009,8.7,(6425人评价),https://book.douban.com/subject/1159967/
5,5,最好的决定,[美] 梅根·多姆(编),2021,8.2,(1795人评价),https://book.douban.com/subject/30432520/
6,6,东京贫困女子,[日]中村淳彦,2021,8.3,(1691人评价),https://book.douban.com/subject/34933208/
7,7,如何抑止女性写作,[美]乔安娜·拉斯（Joanna Russ）,2020,8.9,(2138人评价),https://book.douban.com/subject/35229199/
8,8,成为波伏瓦,[英]凯特·柯克帕特里克,2021,9,(2853人评价),https://book.douban.com/subject/35317169/
9,9,女性主义,李银河,2018,9.1,(3820人评价),https://book.douban.com/subject/30276984/
